edge_rank_by_mandate_similarity,IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence,q90_mandate_threshold,retention_rule,edge_weight_for_chord
1,IMF,WTO,0.9782628785514974,0.8077134820807471,0.1705493964707503,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9782628785514974
2,UNCTAD,ITC,0.9761870601839528,0.7892962408149777,0.1868908193689751,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9761870601839528
3,UNCCD,UNU,0.9724332766526302,0.5850076268532177,0.3874256497994125,True,True,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9724332766526302
4,IMO,IHO,0.9502578394694486,0.8882139643711293,0.0620438750983193,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9502578394694486
5,WBG,UNWTO,0.9494020170215564,0.679589589998279,0.2698124270232773,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9494020170215564
6,OECD,WTO,0.935254860619026,0.733028856252254,0.202226004366772,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.935254860619026
7,WBG,WTO,0.9339511791254114,0.732248070455357,0.2017031086700543,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9339511791254114
8,FAO,UNFCCC,0.9333674034753776,0.7894903881766605,0.1438770152987171,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9333674034753776
9,IPBES,CBD,0.9326083490216514,0.6918056270930907,0.2408027219285606,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9326083490216514
10,UNIDO,WTO,0.9294304493828788,0.7170705249910034,0.2123599243918753,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9294304493828788
11,WTO,UNWTO,0.9182882166313558,0.7635496015655687,0.1547386150657871,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9182882166313558
12,OECD,IMF,0.9174577256825404,0.6544859999068642,0.2629717257756762,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9174577256825404
13,FAO,UN DOALOS,0.9130285653892944,0.6461197640050667,0.2669088013842277,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9130285653892944
14,IAEA,IHO,0.9106956160944574,0.9576047374100743,-0.046909121315617,False,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9106956160944574
15,UNIDO,IMF,0.9092273068267066,0.7105633323745632,0.1986639744521434,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9092273068267066
16,OECD,UNWTO,0.906459024783484,0.7561862932736227,0.1502727315098612,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.906459024783484
17,UNHCR/OHCHR,UNFPA,0.904534033733291,0.686062548295877,0.218471485437414,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.904534033733291
18,UNFPA,UNRISD,0.9009374626955592,0.7827348818429408,0.1182025808526182,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.9009374626955592
19,FAO,IPBES,0.8968502940472872,0.8392658917527538,0.0575844022945334,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8968502940472872
20,WBG,IOM,0.8936769857443931,0.6986072577585121,0.195069727985881,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8936769857443931
21,FAO,CBD,0.8901570814605683,0.6883233940687886,0.2018336873917796,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8901570814605683
22,IMO,IAEA,0.8868103884526453,0.904061354204836,-0.0172509657521908,False,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8868103884526453
23,ILO,UNGC,0.8824531167906932,0.6870114634793263,0.1954416533113668,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8824531167906932
24,OECD,CITES,0.8720118468373176,0.6572591723648847,0.2147526744724328,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8720118468373176
25,UNEP,UNIDO,0.8714262586396293,0.9035452033073578,-0.0321189446677284,False,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8714262586396293
26,WBG,IMF,0.8680426641162006,0.7066756604813662,0.1613670036348343,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8680426641162006
27,UNICEF,UNOOSA,0.8660254037844387,0.7937442894745488,0.0722811143098899,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8660254037844387
28,FAO,IHO,0.8627897887553557,0.8073431533828783,0.0554466353724774,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8627897887553557
29,OECD,WBG,0.8625680806027054,0.8037985258966865,0.0587695547060188,True,False,0.7344338929695332,mandate_similarity >= q90_mandate_similarity,0.8625680806027054
